Armed Strikes,"Your Basic Attacks are made with a weapon.
They deal an extra 1d10 damage, are boosted in accuracy to 100%, and have a
10% chance to flinch.",Shadow Blade + Lvl 10
Bladed Mystery,"By giving a short description of a past
adventure, you may choose the type of damage your weapon deals – for
instance, that it was struck by lightning for electric type, or tempered in the
flames of groudon’s heart for fire type. You may also choose for it to deal an
extra 1d10 damage or have a 20% chance of inflicting one status condition of
your choice. These bonuses last for 24 hours and can be changed daily.",Shadow Blade + Lvl 20
Steal Hearts," After successfully stealing an item from a foe,
you may choose to inflict the Infatuated or Confused status upon them,
lasting 10 turns or 30 minutes outside of battle.",Thief + Lvl 10
Artistic Escapes," In low visibility, such as
dusk or fog, you may become
totally invisible. Your invisibility
ends if you attack or if visibility
around you increases. While
invisible, you cannot be tracked
by sight, sound or scent, and you
receive a bonus of 20% to
Perception rolls, to a maximum
of 95%. If you deal an attack to a
foe who cannot see you, the
attack’s damage is doubled.",Thief + Lvl 20
Type Bulldozer,"Ignore the effects of 'not very effective' type matchups, instead dealing normal damage.",Type-Advantage Master
Sands of Time,"By spending at least 30 minutes studying an object or structure, you can accurately tell what pokémon in the past have interacted with it, as well as any stories and legends, and whether it has any secret functions or magical effects cast upon it.",Archaelogist Destiny Level 10
Seas of Time,"Your knowledge about the past eclipses that
of even the greatest scholars. Once daily you may study an object or place
and declare a fact of the past to be true. For instance, that an ancient battle
took place, that the relic would point to a specific legendary pokémon’s
sleeping place, or that an ancient tool is actually a primitive key. If the Guild
Master permits, this knowledge is accepted and written into canon.",Archaelogist Destiny Level 20
Keen Intuition,"Thrice daily you can call upon your skills
of deduction to give you insight. The Guild Master will give you two truths
and one lie about any situation, individual or item. It is up to you to deduce
which is the falsehood and what knowledge you can trust, however.",Detective + Level 10
Flawless Deduction,"If you have at least three pieces of
evidence, you can accurately deduce facts about your current case. By
cashing in three pieces of evidence, you can ask the Guild Master one
question, which they have to answer truthfully. You can perform this action
as long as you have evidence to spend, and can reasonably argue how each
item or piece of knowledge would help you glean the answer to your
question.",Detective + Level 20
Doom Force,"After defeating an enemy, on
  Trigger 4, all enemy Pokémon within a 10-foot radius take half the
  damage dealt to the fallen foe as typeless damage.",Doomstrike
Momentum,"Whenever you make a successful skill roll in a
dungeon, you gain one point of momentum, up to 5 at once. You lose one
momentum point after failing a skill roll, and all momentum by leaving the
dungeon or being knocked out. Momentum can be used as follows:
Each point of momentum allows you to move one additional space in
combat. At 5 momentum, your attacks deal an additional 1d6 damage.
You may spend one point to add 5% to the success chance of a roll.
You may spend one point of momentum to reduce damage taken by 1d6.
You may spend three points of momentum to perform a Basic Attack
after landing a successful attack on a foe.
You may spend all momentum to instantly shrug off a status condition.",Dungeoneer + Level 10
Expert Dungeoneer,"You may, before entering a dungeon, make
three claims about it, two of which are then written into truth. These may be about
the pokemon, items, secrets, terrain, reputation, etc. If the Guild Master permits,
the chosen two facts are written into canon and become true for all future visits.",Dungeoneer + Level 20
Doomstrike,"(Requires 'Extra Striker'):After defeating an enemy,
  gain an additional attacking action during this turn.",Extra Striker
Quick Striker,"Requires Extra Striker
  additional attacking action per turn. You may also gain the bonus
  attacking action from Extra Striker.",Extra Striker
Surmounting Wit,"You shine when situations are bleakest.
If outnumbered, trapped, facing a foe larger or higher in level than you, or if
a party member has fainted, you gain +15% to all skill rolls.",Folk Hero + Level 10
Folk Mythology,"Once daily, you may escape a tough
situation by describing one of your feats from a folk tale. For example, that
you scared off a rampaging gyarados by baring your teeth, or leapt over a
ravine three copperajah wide to rescue a baby mareep. Keep track of your
folk tale feats as you use them, for future reference.",Folk Hero + Level 20
Awakening,"Once per day, spend 1 grit to
  'Awaken.' If capable of Mega Evolution, you immediately Mega Evolve
  without a Mega Evolution Stone. If not, your Attack, Defense, Special
  Attack, Special Defense, Speed increase by 1 point, and Brawn and
  Talent increase by 2 points for the remainder of a battle. Can stack
  with “Go For Broke.”",Go for Broke
