Move,Column2,Column3
Electric Terrain,2 per battle,"creates a 5x5 zone of electrified ground, Electric Type moves used by Pokemon in this zone have their attacks Empowered. Pokemon in this zone that are grounded, cannot fall asleep"
Electrify,0,target becomes an Electric Type and looses all other Types (save 9)
Electro Ball,2 per battle,this move deals (user's speed - 3) d6 damage (max 5d6)
Electroweb,3 per battle,"trigger 5, target's Speed stat is reduced by -1 (save 9)"
Embargo,3 per battle,the target and its Trainer cannot use items (save 11)
Ember,0,"trigger 6, target is burned (save 7)"
Encore,1 per battle,target must continue to use the same move it used before hit with this move (save 11)
Endeavor,1 per battle,"if user is at 100% health, this move deals 1d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 3d10 damage, if the user is at 5HP or less, this move deals 4d10 damage"
Endure,2 per battle,user cannot be reduced to less than 1 HP until the end of its next turn
Energy Ball,2 per battle,"trigger 5, target's Sp. Defense stat is reduced by -1 (save 9)"
Entrainment,3 per battle,the target looses its ability and gains the user's ability instead (save 9)
Eruption,1 per battle,"if user is at 100% health, this move deals 3d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 1d10 damage"
Eternabeam,1 per battle, 
Expanding Force,, 
Explosion,1 per battle,"range 3, user faints after using this move"
Extrasensory,0,"trigger 6, target is dazed (save 7)"
Extreme Evoboost,1 per battle,"all user's stats (except Health) are increased by +1, minor action to maintain"
Extreme Speed,1 per battle,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Facade,0,"if the User is poisoned, burned, or paralyzed, this move deals 4d6 damage instead"
Fairy Lock,2 per battle,no Pokemon may flee until the end of user's next turn
Fairy Wind,0,-
Fake Out,1 per battle,"on successful hit, the target flinches during its next turn. this move only deals damage if used during the first round of a battle and if the target has not taken a turn yet. "
Fake Tears,0,target's Sp. Defense stat is decreased by -2 (save 7)
False Swipe,0,"if target would be reduced to fewer than 1 HP from damage from this move, instead the target's HP becomes 1"
Feather Dance,3 per battle,target's Attack stat is decreased by -2 (save 9)
Feint,2 per battle,cannot be protected against
Feint Attack,0,user gains a +1 to hit with this move
Fell Stinger,0,"if the target is knocked out from the damage from this move, the user's Attack is increased by +2 until the end of the battle"
Fiery Dance,2 per battle,"trigger 5, user's Sp. Attack stat is increased by +1 until the end of the Battle"
Fiery Wrath,2 per battle, 
Final Gambit,1 per battle,"this move deals (user's Grade +2) d6 damage, user faints after using this move"
Fire Blast,1 per battle,"trigger 4, target is burned (save 9)"
Fire Fang,3 per battle,"trigger 5, target is burned (save 7)"
Fire Lash,3 per battle,"trigger 6, target's Defense is reduced by -2 (save 9)"
Fire Pledge,2 per battle,"if an alley used Grass Pledge as a pledge this turn, this move deals 3d10 instead and creates a special weather condition called Sea of Fire. Each foe starting their turn while Sea of Fire is the weather condition must roll a (save 7) or become burned. You may choose to use this move as a pledge instead of doing 2d8 damage. If you do, an ally using Water Pledge later this turn will gain increased benefits from the move."
Fire Punch,3 per battle,"trigger 6, target is burned (save 9)"
Fire Spin,3 per battle,"If the opponent is not a ghost pokemon, trigger 6, the foe is Bound (Save 11), while the foe is bound, their speed is 0, they have -3 to attack, and they take the user's affinity bonus in damage until they become unbound. Each turn the target for this save is reduced by 1"
First Impression,1 per battle,only works the first turn of a battle
Fissure,1 per battle,"If this move hits a target, target must roll a save of 11, or lose all HP."
Flail,3 per battle,"if user is at 100% health, this move deals 1d10 damage, if the user is above 50%, this move deals 2d10 damage, if the user is below 50% health, this move deals 3d10 damage, if the user is at 5HP or less, this move deals 4d10 damage"
Flame Burst,3 per battle,"on successful hit, foes adjacent to the target take 1d6 damage"
Flame Charge,0,"on successful hit, user's Speed is increased by +1 until the end of the battle"
Flame Wheel,0,"trigger 6, target is burned (save 7)"
Flamethrower,3 per battle,"trigger 5, target is burned (save 9)"
Flare Blitz,3 per battle,"trigger 5, target is burned (save 7), recoil - 1d12"
Flash,0,target gets a -1 to hit (save 7)
Flash Cannon,2 per battle,"trigger 5, target's Sp. Defense stat is reduced by -1 (save 9)"
Flatter,3 per battle,"target is confused (save 9), but target's Sp. Attack is increased by +1 until the end of the Battle"
Fleur Cannon,1 per battle,recoil - user's Sp. Attack stat is reduced by -2 (save 7)
Fling,2 per battle,"user throws its held item, it deals 1d10, 2d10, 3d10, or 4d10 damage depending on the rarity of the item thrown. The item is consumed, if the user has no held item, this move will fail"
Floral Healing,2 per battle,"target regains HP equalt to (user's Grade) d6 + Talent, if the terrain is grass, increast to d8's"
Flower Shield,2 per battle,all Grass Type Pokemon's Defense Stat is increased by +1 until the end of the Battle
Fly,3 per battle,"user flies high for one turn, on the second turn user attacks"
Flying Press,2 per battle,this move deals both Fighting and Flying damage simultaneously
Focus Blast,1 per battle,"trigger 4, target's Sp. Defense stat is reduced by -1 (save 9)"
Focus Energy,0,"user's attacks are considered critical hits on natural 10's instead of 11's, minor action to maintain"
Focus Punch,0,"the user bides for one turn and attacks on the second turn. If the user is damaged before it attacks, this move fails"
Follow Me,0,targets must attack user if able during their turn (save 9)
Force Palm,2 per battle,"trigger 4, target is paralyzed, (save 7)"
Foresight,0,"if target is a Ghost Type, it is no longer immune to Normal and Fighting damage (save 9), if target is not a Ghost Type, its Defense stat is decreased by -1 (save 7)"
Forest's Curse,0,target becomes a Grass Type and looses all other Types (save 9)
Foul Play,3 per battle,"this move deals damage equal to Xd6, where X is the Attack stat of the target"
Freeze Shock,1 per battle,"trigger 5, target is paralyzed, (save 11)"
Freeze-Dry,0,"trigger 6, target is frozen (save 7), this move is super effective against Water Types"
Freezing Glare,2 per battle, 
Frenzy Plant,1 per battle,user cannot attack the turn after using this move
Frost Breath,2 per battle,"on successful hit, this move is always a critical hit"
Frustration,0,"IQ or Happiness determines damage. If IQ/Happiness is between 1-10, deal 2d12 damage. If IQ is between 20 and 40, deal 2d10 damage. 40 and 80, 2d8 damage, 80 to 120, 2d6 damage, for 120 and above, 2d4 damage."
Fury Attack,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Fury Cutter,0,"this move gains 1d8 bonus damage for each turn the user hits with this move in succession to a max of 3d8 bonus damage (4d8 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Fury Swipes,3 per battle,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d4 damage"
Fusion Bolt,1 per battle,"if another Pokemon has used the move Fusion Flare this battle, this move deals 4d10 damage instead"
Fusion Flare,1 per battle,"if another Pokemon has used the move Fusion Bolt this battle, this move deals 4d10 damage instead"
Future Sight,2 per battle,"user attacks this turn, but target is not damaged until two turns later"
Gastro Acid,2 per battle,the target looses its ability (save 9)
Gear Grind,3 per battle,attack twice
Gear Up,1 per battle,all allies with the Plus or Minus ability have their Attack stat and Sp. Attack stat increased by +1 until the end of the Battle
Genesis Supernova,1 per day,"the terrain changes to psychic terrain, Psychic moves are automatically empowered to hit and damage while the terrain is psychic terrain"
Geomancy,2 per battle,"user's Sp. Attack stat, Sp. Defense Stat, and Speed stat are increased by +1, minor action to maintain"
Giga Drain,2 per battle,"on successful hit, the user regains HP equal to its Talent + its Grade"
Giga Impact,1 per battle,"on successful hit, target may not move during its next turn"
Glaciate,2 per battle,"on successful hit, target's Speed stat is reduced by -1 (save 7)"
Glare,3 per battle,target is paralyzed (save 9)
Grass Knot,0,"if the target is huge, this attack deals 4d6 damage, large 3d6, medium 2d6, small or tiny 1d6"
Grass Pledge,2 per battle,"if an alley used Water Pledge as a pledge this turn, this move deals 3d10 damage instead and creates a special weather condition called Swamp. While Swamp is the current weater conditon, foes have their Speed stat reduced by -3 (This is an environmental stat decrease and can decrease a foe's Speed stat even if it is already reduced by an an ongoing condition). You may choose to use this move as a pledge instead of doing 2d8 damage. If you do, an ally using Fire Pledge later this turn will gain increased benefits from the move."
Grass Whistle,3 per battle,target falls asleep (save 9)
Grassy Terrain,2 per battle,"creates a 5x5 zone of grassy ground, Grass Type moves used in this zone are Empowered. Pokemon starting their turn in this zone have regain HP equal to their Talent"
Gravity,1 per battle,"creates a 5x5 zone of increased gravity, Flying Type moves cannot be used in this zone. Flying Pokemon in this zone loose immunity to Ground Type moves"
Growl,0,target's Attack stat is decreased by -1 (save 7)
Growth,0,"user increases its size category by one, user's Attack stat and Sp. Attack stat increase by +1, minor action to maintain"
Grudge,1 per battle,"when the user is knocked out, the move that knocked it out is exhausted and cannot be used again during this Battle"
Guard Split,2 per battle,"user's Defense stat and Sp. Defense stat are increased by +1, target's Defense stat and Sp. Defense stat are decreased by -1 (save 9). when target saves, user looses its increase to Defense stat and Sp. Defense stat "
Guard Swap,2 per battle,"user swaps Defense stat with target's Defense stat, and Sp. Defense stat with target's Sp. Defense stat"
Guardian of Alola,1 per day,"if target is at 100% health, this move deals 5d10 damage, if the target is above 50%, this move deals 4d10 damage, if the target is below 50% health, this move deals 3d10 damage"
Guillotine,1 per battle,"If this move hits a target, target must roll a save of 11, or lose all HP."
Gunk Shot,1 per battle,"trigger 4, target is poisoned, (save 9)"
Gust,0,-
Gyro Ball,1 per battle,"this move deals damage equal to Xd6, where X is the target's Speed stat minus the user's Speed stat"
Hail,2 per battle,weather is changed to Hail
Hammer Arm,2 per battle,the user's Speed is reduced by -2 (save7)
Happy Hour,1 per battle,doubles the amount of prize money for the Battle
Harden,0,"user's Defense stat is increased by +2, minor action to maintain"
Haze,0,all stat bonuses and penalties are removed
Head Charge,3 per battle,recoil - 1d6
Head Smash,1 per battle,recoil - 1d10
Headbutt,3 per battle,"trigger 6, target is dazed, (save 9)"
Heal Bell,1 per battle,all allies are cured of all conditions
Heal Block,3 per battle,target cannot regain HP (save 9)
Heal Order,2 per battle,user regains HP equal to (user's Grade) d6 + Talent
Heal Pulse,2 per battle,target regains HP equal to (user's Grade) d6 + Talent
Healing Wish,1 per battle,"user faints, if its trainer replaces it with another Pokemon during the next turn, the replacement Pokemon is cured of all conditions and healed to full HP"
Heart Stamp,0,"trigger 6, target is dazed, (save 7)"
Heart Swap,2 per battle,user swaps all stat changes with target
Heat Crash,2 per battle,"if the target is tiny, this attack deals 4d6 damage, small 3d6, medium 2d6, large or huge 1d6"
Heat Wave,2 per battle,"trigger 5, target is burned (save 9)"
Heavy Slam,2 per battle,"if the target is tiny, this attack deals 4d6 damage, small 3d6, medium 2d6, large or huge 1d6"
Helping Hand,0,Ally does affinity bonus extra damage as long as this move is maintained as a utility action.
Hex,2 per battle,"if target is burned, frozen, paralyzed, poisoned, or sleeping, this move deals 2d12 damage instead"
Hidden Power,3 per battle,GM decides the type of your Hidden Power
High Horsepower,2 per battle,-
High Jump Kick,2 per battle,recoil - 2d8 (only on miss)
Hold Back,0,"if target would be reduced to fewer than 1 HP from damage from this move, instead the target's HP becomes 1"
Hold Hands,1 per battle,"if target also uses Hold Hands or has used Hold hands targeting the user, both the user and target's Attack, Defense, Sp. Attack, Sp. Defense, and Speed stat are increased by +1 until the end of the Battle"
Hone Claws,3 per battle,"user gains a +1 to hit during its next turn, user's Attack stat is increased by +1, minor action to maintain"
Horn Attack,0,-
Horn Drill,1 per battle,"If the user is 2 Grades above the target, Trigger 5; else Trigger 6, Instead of dealing damage, pokemon is instantly knocked out."
Horn Leech,2 per battle,"on successful hit, user regains HP equal to its Brawn + Grade"
Howl,0,"user's Attack stat is increased by +1, minor action to maintain"
Hurricane,2 per battle,"trigger 5, target confused (save 9)"
Hydro Cannon,1 per battle,user cannot attack the turn after using this move
Hydro Pump,1 per battle,-
Hyper Beam,1 per battle,user cannot attack the turn after using this move
Hyper Fang,3 per battle,"trigger 5, target is dazed (save 7)"
Hyper Voice,2 per battle,-
Hyperspace Fury,1 per battle,cannot be protected against
Hyperspace Hole,1 per battle,cannot be protected against
Hypnosis,0,target falls asleep (save 7)
Ice Ball,0,"this move gains 1d6 bonus damage for each turn the user hits with this move in succession to a max of 3d6 bonus damage (4d6 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0"
Ice Beam,2 per battle,"trigger 5, target frozen (save 9)"
Ice Burn,1 per battle,"user charges for one turn, then attacks the second turn. trigger 4, target burned (save 11)"
Ice Fang,3 per battle,"trigger 5, target is frozen (save 7)"
Ice Hammer,2 per battle,user's Speed is reduced by -2 (save 7)
Ice Punch,3 per battle,"trigger 6, target is frozen (save 9)"
Ice Shard,0,"the first time this move is used in battle, the user goes to the top of the intiative order starting next turn"
Icicle Crash,2 per battle,"trigger 5, target is dazed (save 9)"
Icicle Spear,0,"attack twice, if both hit, attack again with a -1, if that hits attack again with a -2, if that hits attack again with a -3. Each successful hit deals 1d6 damage"
Icy Wind,3 per battle,"on successful hit, target's Speed stat is reduced by -1 (save 7)"
Imprison,2 per battle,target is sealed from using any move the user also knows (save 9)
Incinerate,3 per battle,"on successful hit, target's held item is consumed if it is a consumable item"
Inferno,1 per battle,"on successful hit, target is burned (save 7)"
Infestation,0,"this move gains 1d4 bonus damage for each turn the user hits with this move in succession to a max of 5d4 bonus damage (6d4 total). If the user uses another move, or misses with this move, it resets the bonus damage to 0. On successful hit, target cannot flee during its next turn"
Ingrain,0,"user lays roots that heal it each turn equal to (user's Talent), user cannot move or be switched out until it ends the rooting, minor action to end"
Instruct,3 per battle,target must use the same move it used on its last turn during its next turn
Ion Deluge,0,"creates a 5x5 zone of electrical energy ground, Normal Type moves used in this zone are Electric Type instead"
Iron Defense,3 per battle,"user's Defense stat is increased by +2, minor action to maintain"
Iron Head,3 per battle,"trigger 6, target is dazed (save 9)"
Iron Tail,3 per battle,"trigger 6, target's Defense is reduced by -1 (save 9)"
Judgment,2 per battle,"if the user is holding a plate, this move will change to the Type of that plate"
Jump Kick,2 per battle,recoil - 1d10 (only on miss)
Jungle Healing,2 per battle,"allies lose status effects, user heals 1/4th of their HP"
Karate Chop,0,this move is a critical hit on a natural 10 instead of 11
Kinesis,3 per battle,target gets a -1 to hit (save 7)
King's Shield,2 per battle,"if the user is hit with a physical move before the end of its next turn, the Pokemon that hit it has its Attack stat decreased by -2 (save 11)"
Knock Off,0,"if the target has a held item, this move deals 2d12 damage instead. on successful hit, the target's held item is knocked away and cannot be used for the rest of the battle"
Land's Wrath,2 per battle,-
Laser Focus,0,"user's attacks are considered critical hits on natural 10's instead of 11's, minor action to maintain"
Last Resort,3 per battle,this move may only be used if all the user's other moves are exhausted for the battle
Lava Plume,3 per battle,"trigger 5, target burned (save 9)"
Leaf Blade,3 per battle,this move is a critical hit on a natural 10 instead of 11
Leaf Storm,1 per battle,recoil - user's Sp. Attack stat is reduced by -2 (save 7)
Leaf Tornado,2 per battle,"trigger 5, target gets a -1 penalty to hit (save 9)"
Leafage,0,-
Leech Life,2 per battle,"on successful hit, user regains HP equal to its Brawn + Grade"
Leech Seed,2 per battle,"target becomes seeded (save 9), when target starts its turn it looses HP equal to the user's Talent, and user regains that much HP"
Leer,0,target's Defense stat is decreased by -1 (save 7)
Lick,0,"trigger 6, target is paralyzed (save 7)"
Life Dew,2 per battle,allies and user heal 1/4th of their hp
Light of Ruin,1 per battle,recoil - 2d6 damage
Light Screen,0,allies gain a resistance to special move damage equal to the user's Grade until the end of user's next turn
Liquidation,2 per battle,"trigger 6, target's Defense is reduced by -1 (save 11)"
Lock-On,1 per battle,user gains a +3 to hit during its next turn
Lovely Kiss,2 per battle,target falls asleep
